
 generation best average standard 

   Generation#         Best_fitness       Ava_fitness 
  376,                   30005.964,                  24865.268,    
  
  377,                   30005.964,                  25495.485,    
  
  378,                   30005.964,                  25198.840,    
  
  379,                   30005.964,                  25983.223,    
  
  380,                   30005.964,                  25146.666,    
  
  381,                   30005.964,                  25785.101,    
  
  382,                   30005.964,                  26134.093,    
  
  383,                   30005.964,                  26706.649,    
  
  384,                   30005.964,                  26063.029,    
  
  385,                   30005.964,                  25271.113,    
  
  386,                   30005.964,                  25919.446,    
  
  387,                   30005.964,                  26570.048,    
  
  388,                   30005.964,                  25432.583,    
  
  389,                   30005.964,                  25194.902,    
  
  390,                   30005.964,                  24531.390,    
  
  391,                   30005.964,                  25435.253,    
  
  392,                   30005.964,                  23249.634,    
  
  393,                   30005.964,                  24083.389,    
  
  394,                   30005.964,                  25193.036,    
  
  395,                   30005.964,                  25782.323,    
  
  396,                   30005.964,                  25578.470,    
  
  397,                   30005.964,                  26298.873,    
  
  398,                   30005.964,                  26045.264,    
  
  399,                   30005.964,                  25622.716,    
  
  400,                   30005.964,                  25451.855,    
  
  401,                   30005.964,                  25905.794,    
  
  402,                   30005.964,                  26284.549,    
  
  403,                   30005.964,                  25490.304,    
  
  404,                   30005.964,                  26414.112,    
  
  405,                   30005.964,                  27358.113,    
  
  406,                   30005.964,                  27065.502,    
  
  407,                   30005.964,                  26438.504,    
  
  408,                   30005.964,                  27121.204,    
  
  409,                   30005.964,                  27965.969,    
  
  410,                   30005.964,                  27064.649,    
  
  411,                   30005.964,                  26121.172,    
  
  412,                   30005.964,                  28459.950,    
  
  413,                   30005.964,                  29077.034,    
  
  414,                   30005.964,                  28589.116,    
  
  415,                   30005.964,                  27907.287,    
  
  416,                   30005.964,                  26863.594,    
  
  417,                   30005.964,                  25392.482,    
  
  418,                   30005.964,                  26418.679,    
  
  419,                   30005.964,                  26370.206,    
  
  420,                   30005.964,                  26385.834,    
  
  421,                   30005.964,                  25923.543,    
  
  422,                   30005.964,                  24222.558,    
  
  423,                   30005.964,                  25027.564,    
  
  424,                   30005.964,                  24240.292,    
  
  425,                   30005.964,                  23387.466,    
  
  426,                   30005.964,                  24638.796,    
  
  427,                   30005.964,                  23710.103,    
  
  428,                   30005.964,                  24087.875,    
  
  429,                   30005.964,                  24775.058,    
  
  430,                   30005.964,                  26105.479,    
  
  431,                   30005.964,                  25959.375,    
  
  432,                   30005.964,                  24959.454,    
  
  433,                   30005.964,                  26871.956,    
  
  434,                   30005.964,                  27254.019,    
  
  435,                   30005.964,                  27170.040,    
  
  436,                   30005.964,                  26076.759,    
  
  437,                   30005.964,                  25793.514,    
  
  438,                   30005.964,                  25207.030,    
  
  439,                   30005.964,                  26341.432,    
  
  440,                   30005.964,                  24002.171,    
  
  441,                   30005.964,                  25908.628,    
  
  442,                   30005.964,                  25338.218,    
  
  443,                   30005.964,                  26218.803,    
  
  444,                   30005.964,                  27041.419,    
  
  445,                   30005.964,                  26007.088,    
  
  446,                   30005.964,                  26378.337,    
  
  447,                   30005.964,                  27041.573,    
  
  448,                   30005.964,                  27375.922,    
  
  449,                   30005.964,                  26109.286,    
  
  450,                   30005.964,                  26868.629,    
  
  451,                   30005.964,                  26609.166,    
  
  452,                   30005.964,                  26116.707,    
  
  453,                   30005.964,                  26343.821,    
  
  454,                   30005.964,                  25965.146,    
  
  455,                   30005.964,                  25531.454,    
  
  456,                   30005.964,                  25753.028,    
  
  457,                   30005.964,                  23631.217,    
  
  458,                   30005.964,                  24683.298,    
  
  459,                   30005.964,                  23315.046,    
  
  460,                   30005.964,                  24578.519,    
  
  461,                   30005.964,                  25511.044,    
  
  462,                   30005.964,                  26599.457,    
  
  463,                   30005.964,                  26277.491,    
  
  464,                   30005.964,                  26545.065,    
  
  465,                   30005.964,                  26243.675,    
  
  466,                   30005.964,                  27638.152,    
  
  467,                   30005.964,                  28315.007,    
  
  468,                   30005.964,                  27648.496,    
  
  469,                   30005.964,                  27340.921,    
  
  470,                   30005.964,                  25560.840,    
  
  471,                   30005.964,                  26574.298,    
  
  472,                   30005.964,                  26962.276,    
  
  473,                   30005.964,                  26982.768,    
  
  474,                   30005.964,                  26848.867,    
  
  475,                   30005.964,                  26438.646,    
  
  476,                   30005.964,                  26906.392,    
  
  477,                   30005.964,                  26116.431,    
  
  478,                   30005.964,                  26840.882,    
  
  479,                   30005.964,                  26880.048,    
  
  480,                   30005.964,                  26467.116,    
  
  481,                   30005.964,                  26857.523,    
  
  482,                   30005.964,                  26824.264,    
  
  483,                   30005.964,                  27396.211,    
  
  484,                   30005.964,                  28142.235,    
  
  485,                   30005.964,                  26960.598,    
  
  486,                   30005.964,                  27319.689,    
  
  487,                   30005.964,                  27436.881,    
  
  488,                   30005.964,                  28129.651,    
  
  489,                   30005.964,                  28328.954,    
  
  490,                   30005.964,                  27652.283,    
  
  491,                   30005.964,                  26065.492,    
  
  492,                   30005.964,                  26408.351,    
  
  493,                   30005.964,                  25040.331,    
  
  494,                   30005.964,                  26392.315,    
  
  495,                   30005.964,                  27276.298,    
  
  496,                   30005.964,                  27157.230,    
  
  497,                   30005.964,                  25610.561,    
  
  498,                   30005.964,                  26210.153,    
  
  499,                   30005.964,                  26402.666,    
  
  500,                   30005.964,                  26802.178,    


 simulation completed 

 best member: 

 X(1): =199.800
 X(2): =50.020
 X(3): =79.920

 Best fitness : =30005.964
